,Pieces,Weight,Commodity Class,Base Retail,distance(mi)
443,6,4990,65.0,484.85,973.3895816260906
444,2,3018,65.0,484.9,1008.2602029280096
445,3,3553,65.0,486.39,1437.4648074645174
446,2,3428,65.0,489.22,855.5900918106032
447,4,4741,65.0,490.12,1185.3683430541128
448,4,5175,65.0,498.12,869.9194393254604
449,3,3884,65.0,498.61,1367.3157206193225
450,4,3826,65.0,500.54,1414.7337000483913
451,4,6856,60.0,502.06,1345.4089207710665
452,4,5761,60.0,502.47,1008.2602029280096
453,4,3843,65.0,502.76,1352.5988318989857
454,5,7747,60.0,505.76,1074.0049851388987
455,4,5292,65.0,509.38,869.9194393254604
456,4,6171,60.0,510.29,1345.4089207710665
457,3,3729,65.0,510.49,1437.4648074645174
459,4,5752,65.0,516.02,852.8714258361464
460,3,3951,65.0,516.89,1345.4089207710665
461,4,5326,60.0,520.15,887.4926029535294
462,3,3729,60.0,521.38,887.4926029535294
463,6,7843,65.0,529.63,855.5900918106032
464,4,5414,65.0,530.09,973.3895816260906
465,3,3923,60.0,531.0,887.4926029535294
466,3,4440,60.0,531.0,887.4926029535294
467,6,9664,65.0,531.7,433.1888034242847
468,4,5576,65.0,536.72,869.9194393254604
469,3,3925,65.0,537.31,1437.4648074645174
470,5,5810,65.0,540.6,919.6772274915619
471,4,3597,65.0,545.12,1307.8584247541723
472,4,5718,65.0,550.39,869.9194393254604
473,3,4302,60.0,552.78,987.452372129913
474,4,5976,65.0,556.05,919.6772274915619
475,5,4632,65.0,558.04,1367.3157206193225
476,6,7822,65.0,559.05,869.9194393254604
477,4,4563,60.0,564.51,1008.2602029280096
478,2,5893,65.0,567.23,869.9194393254604
479,4,5560,60.0,568.22,1267.990337281148
480,3,4110,60.0,568.72,1267.990337281148
481,4,4961,65.0,568.73,1352.5988318989857
482,4,6071,65.0,568.86,887.4926029535294
483,5,5804,65.0,568.93,1226.952483984425
484,3,3600,65.0,578.4,1008.2602029280096
485,6,8100,60.0,581.83,869.9194393254604
487,8,10611,60.0,586.18,869.9194393254604
488,5,7811,65.0,587.19,648.5370129368381
489,2,3618,65.0,588.03,1437.574572675189
490,4,4149,65.0,596.68,1228.2451481937637
491,4,3829,65.0,601.59,1307.8584247541723
492,4,4917,65.0,603.06,1237.722490763909
493,7,8542,60.0,608.02,887.4926029535294
495,7,10745,60.0,616.26,1237.722490763909
496,5,5574,65.0,634.02,1352.5988318989857
