Pickup Date,Month,Origin Zip,Destination Zip,Pieces,Weight,Commodity Class,Base Retail,R/ Lift Gate Delivery,R/ Fuel Surcharge,Billed
11/28/17,Nov,75261,91744,1,845,65,155.62,,36.1,$199.34 
11/28/17,Nov,75261,93446,2,1019,65,163.25,54.31,37.87,$262.55 
11/29/17,Nov,75261,95824,1,378,65,124.68,,28.93,$161.78 
11/29/17,Nov,92618,75261,2,520,70,128.32,,29.77,$166.18 
11/29/17,Nov,75261,93446,1,780,65,148.87,55.09,34.53,$245.71 
11/30/17,Nov,75261,17022,1,462,65,126.53,,29.35,$155.88 
11/30/17,Nov,75261,76065,1,540,65,126.53,,29.35,$155.88 
11/30/17,Nov,75261,97124,1,450,65,129.32,,30,$159.32 
11/30/17,Nov,75261,30168,1,241,65,136.19,,31.59,$167.78 
11/30/17,Nov,75261,48193,1,264,65,136.19,,31.59,$167.78 
12/7/17,Dec,75261,90248,1,123,85,124.68,,28.93,$161.78 
12/7/17,Dec,75261,80401,1,125,85,126.53,,29.35,$155.88 
12/7/17,Dec,75261,90630,2,354,125,160.75,54.44,37.29,$259.62 
12/8/17,Dec,75261,90630,1,212,65,115.03,57.52,26.69,$206.78 
12/8/17,Dec,75261,94030,1,396,65,124.68,,28.93,$161.78 
12/8/17,Dec,75261,95206,1,324,65,124.68,,28.93,$161.78 
12/11/17,Dec,75261,84120,1,760,65,141.5,,32.82,$174.32 
12/12/17,Dec,75261,29605,1,475,65,126.53,,29.35,$155.88 
12/13/17,Dec,75261,32724,1,402,65,168.77,,27.11,$195.88 
12/14/17,Dec,75261,30168,1,345,65,126.53,,29.35,$155.88 
12/14/17,Dec,75261,66105,1,520,65,126.53,,29.35,$155.88 
12/14/17,Dec,75261,48193,1,256,65,126.53,,29.35,$155.88 
12/14/17,Dec,75261,28731,1,436,65,126.53,,29.35,$155.88 
12/14/17,Dec,75261,12020,1,275,65,126.53,,29.35,$155.88 
12/14/17,Dec,75261,18643,1,527,65,133.7,,31.01,$164.71 
12/14/17,Dec,75261,89441,1,793,65,162.52,,37.7,$200.22 
12/15/17,Dec,75261,61615,1,269,65,121.53,,28.19,$149.72 
12/15/17,Dec,75261,92656,1,585,65,124.68,,28.93,$161.78 
12/15/17,Dec,75261,38118,1,449,65,126.78,,26.78,$153.56 
12/15/17,Dec,75261,17022,1,571,65,138.37,,32.1,$170.47 
12/15/17,Dec,75261,90630,1,308,70,144.09,44.73,33.49,$229.91 
12/19/17,Dec,75261,76065,2,1290,65,126.53,,29.35,$155.88 
12/19/17,Dec,75261,83716,1,325,65,126.53,,29.35,$155.88 
12/19/17,Dec,75261,46705,1,900,65,156.18,,36.08,$192.26 
12/19/17,Dec,75261,90745,1,1229,65,178.87,,41.5,$231.48 
12/21/17,Dec,75261,40229,1,417,65,126.56,,29.23,$155.79 
12/21/17,Dec,75261,84120,1,391,65,126.56,,29.23,$155.79 
12/22/17,Dec,75261,27616,1,265,65,126.56,,29.23,$155.79 
12/22/17,Dec,75261,1109,1,363,65,126.56,,29.23,$155.79 
12/28/17,Dec,75261,92543,1,122,85,124.71,,28.81,$161.70 
12/28/17,Dec,75261,7644,1,122,85,126.56,,29.23,$155.79 
12/28/17,Dec,75261,71227,1,670,65,126.56,,29.23,$155.79 
12/28/17,Dec,75261,40229,1,439,65,126.56,,29.23,$155.79 
12/28/17,Dec,75261,91723,1,742,65,140.77,,32.52,$181.14 
12/28/17,Dec,75261,43551,1,966,65,159.4,,36.82,$196.22 
12/28/17,Dec,75261,91744,1,1217,65,164.5,,38,$215.20 
12/29/17,Dec,75261,78728,1,490,65,94.37,25.02,21.89,$166.30 
12/29/17,Dec,75261,76065,1,1318,65,106.59,,24.72,$131.31 
12/29/17,Dec,75261,92879,1,477,65,124.71,,28.81,$161.70 
12/29/17,Dec,75261,48193,1,333,65,126.56,,29.23,$155.79 
12/29/17,Dec,75261,28731,1,495,65,126.56,,29.23,$155.79 
12/29/17,Dec,75261,48071,1,344,65,126.56,,29.23,$155.79 
12/29/17,Dec,75261,29609,1,303,65,126.56,,29.23,$155.79 
12/29/17,Dec,75261,22153,1,219,65,126.56,,29.23,$155.79 
12/29/17,Dec,75261,17022,1,488,65,126.56,,29.23,$155.79 
12/29/17,Dec,75261,18643,1,484,65,128.74,,29.75,$158.49 
12/29/17,Dec,75261,97124,1,410,65,129.35,,29.87,$159.22 
12/29/17,Dec,75261,12020,1,417,65,130.09,,30.06,$160.15 
12/29/17,Dec,75261,19440,1,515,65,131.51,,30.39,$161.90 
12/29/17,Dec,75261,91744,1,1070,65,148.94,,34.41,$196.43 
12/29/17,Dec,75261,38118,1,1423,65,149.86,,34.61,$184.47 
12/29/17,Dec,75261,89441,1,752,65,156.04,,36.04,$192.08 
12/29/17,Dec,75261,94030,1,890,65,156.92,,36.25,$206.04 
12/29/17,Dec,75261,83716,1,792,65,157.66,,36.41,$194.07 
10/4/17,Oct,75261,90630,1,523,85,180.27,,29.9,$217.24 
11/2/17,Nov,90814,75261,1,416,125,180.86,,41.06,$282.47 
10/23/17,Oct,75261,L6T5L2,1,207,65,181.7,,40.88,$257.95 
12/14/17,Dec,75261,21237,1,827,65,182.44,,42.32,$224.76 
12/14/17,Dec,75261,91744,1,1272,65,183.98,,42.68,$237.70 
5/18/17,May,75261,V2S2B4,1,105,60,183.99,,22.81,$243.60 
7/27/17,Jul,75261,G9A5L9,1,250,65,184.12,,21.91,$242.85 
7/11/17,Jul,75261,V5C5V1,1,446,60,184.17,,21.55,$242.55 
12/13/17,Dec,75261,90631,3,2177,65,184.62,,48.01,$253.80 
3/20/17,Mar,75261,32837,1,1417,60,184.69,,39.52,$224.21 
8/16/17,Aug,75261,46705,1,1219,65,184.94,,39.94,$224.88 
2/27/17,Feb,75261,43551,1,1042,60,185.32,,22.97,$208.29 
9/22/17,Sep,75261,29609,1,1437,65,185.51,,41.73,$227.24 
9/19/17,Sep,75261,46705,2,1250,65,188.42,,42.4,$230.82 
6/26/17,Jun,75261,80301,1,669,60,188.57,,22.25,$210.82 
5/31/17,May,75261,83716,1,494,60,189.27,,23.09,$212.36 
12/1/17,Dec,75261,92879,1,277,65,189.65,,39.98,$238.24 
7/18/17,Jul,91733,75261,2,1200,65,191.26,,40.17,$335.63 
3/9/17,Mar,75261,37917,1,1313,60,191.37,,23.92,$215.29 
9/25/17,Sep,75261,43551,1,1230,65,193.56,,43.54,$237.10 
2/24/17,Feb,75261,71227,2,1646,60,194.51,,24.13,$218.64 
12/1/17,Dec,75261,90745,1,512,65,195.05,,41.12,$244.72 
4/27/17,Apr,75261,21237,1,474,125,195.31,,42.18,$237.49 
10/31/17,Oct,75261,12065,1,842,65,195.97,,44.3,$240.27 
11/17/17,Nov,75261,40229,1,1395,65,196.35,,45.55,$241.90 
10/18/17,Oct,75261,92590,1,1377,65,196.95,,44.32,$249.75 
12/8/17,Dec,75261,40229,2,1428,65,197.18,,45.74,$242.92 
9/27/17,Sep,75261,40229,1,1439,65,198.62,,44.7,$243.32 
10/31/17,Oct,75261,94030,1,1175,65,199.04,,44.98,$251.21 
12/20/17,Dec,75261,94030,1,1351,65,199.27,,46.03,$257.40 
